purpose_text,transaction_type
UNKNOWN,entertainment
UNKNOWN,utilities
flight Berlin bill,travel
Google One subscription fee 168.38 EUR,subscription
###,entertainment
Mobile CityWater bill February,utilities
Internet Elisa bill December,utilities
unexpected expense fee 107.63 EUR,other
12345,utilities
rent January invoice 99.00 EUR,rent
rent September invoice 97.37 EUR,rent
hotel New York payment,travel
train Tallinn invoice,travel
Google One subscription bill,subscription
hotel Helsinki invoice 167.25 EUR,travel
TAXI BOSTON TRANSFER 215.91 EUR,travel
tickets bill 113.74 EUR,entertainment
bolt market groceries bill,groceries
taxi Paris fee 224.26 EUR,travel
Spotify subscription bill 47.25 EUR,subscription
HOTEL TARTU PAYMENT,travel
taxi Tokyo transfer,travel
taxi Berlin bill,travel
flight Helsinki transfer,travel
museum transfer 249.91 EUR,entertainment
TRAIN TARTU PAYMENT,travel
prisma groceries transfer 294.39 EUR,groceries
rent April transfer 136.24 EUR,rent
YouTube subscription fee 202.97 EUR,subscription
,subscription
train Tallinn bill 295.58 EUR,travel
Apple subscription fee 24.98 EUR,subscription
Mobile Enefit bill July,utilities
Internet Elisa bill February,utilities
rent January bill,rent
TICKETS PAYMENT 255.58 EUR,entertainment
rent August bill 178.54 EUR,rent
hotel Berlin bill,travel
Water Enefit bill May,utilities
taxi London fee 275.01 EUR,travel
bolt market groceries transfer 37.72 EUR,groceries
wolt market groceries fee 297.88 EUR,groceries
rent June bill,rent
coop groceries invoice,groceries
rent January transfer 234.51 EUR,rent
,utilities
rent August bill 146.35 EUR,rent
MISC EXPENSE FEE 286.73 EUR,other
flight Berlin invoice,travel
Mobile UtilityCo bill May,utilities
Gas UtilityCo bill May 81.07 EUR,utilities
train Tokyo invoice,travel
Electricity CityWater bill November,utilities
Water CityWater bill September 24.50 EUR,utilities
rent November payment 115.64 EUR,rent
rent June fee,rent
bolt market groceries fee 35.71 EUR,groceries
rent November fee,rent
concert invoice 207.54 EUR,entertainment
,travel
Spotify subscription transfer,subscription
GOOGLE ONE SUBSCRIPTION TRANSFER 277.03 EUR,subscription
flight Berlin transfer,travel
,subscription
aldi groceries transfer 117.22 EUR,groceries
tickets payment 206.59 EUR,entertainment
Internet Telia bill April,utilities
cinema fee 209.06 EUR,entertainment
spar groceries invoice,groceries
Water CityWater bill November,utilities
Netflix subscription fee,subscription
Electricity UtilityCo bill July 265.99 EUR,utilities
taxi Helsinki transfer,travel
@@@,entertainment
HEATING ENEFIT BILL FEBRUARY,utilities
train Helsinki transfer,travel
WATER ENEFIT BILL JANUARY,utilities
UNKNOWN,other
train Helsinki invoice 215.57 EUR,travel
Netflix subscription invoice,subscription
Internet Elisa bill August 192.49 EUR,utilities
cinema fee,entertainment
rent April invoice 247.72 EUR,rent
RENT JUNE FEE 168.96 EUR,rent
,travel
hotel Paris transfer 57.87 EUR,travel
Heating Elisa bill February 242.86 EUR,utilities
rent February payment,rent
Water Elisa bill October 238.99 EUR,utilities
TICKETS PAYMENT,entertainment
rent August fee 141.74 EUR,rent
general expense fee 170.46 EUR,other
local market groceries fee 275.17 EUR,groceries
rent April transfer,rent
Gas Elisa bill July 299.11 EUR,utilities
rent June invoice,rent
,groceries
hotel Tartu invoice,travel
museum transfer,entertainment
rimi groceries transfer,groceries
ALDI GROCERIES FEE,groceries
prisma groceries invoice,groceries
Internet UtilityCo bill April,utilities
rent August fee,rent
train Tartu payment,travel
Heating CityWater bill August 239.11 EUR,utilities
misc expense invoice 191.42 EUR,other
online store groceries payment 219.73 EUR,groceries
spar groceries invoice 155.46 EUR,groceries
YouTube subscription invoice 239.00 EUR,subscription
spar groceries transfer,groceries
general expense fee 18.19 EUR,other
museum fee 25.08 EUR,entertainment
general expense bill 23.32 EUR,other
Water Elisa bill February,utilities
flight New York transfer,travel
CONCERT TRANSFER,entertainment
###,subscription
Internet Enefit bill January,utilities
FLIGHT BERLIN PAYMENT,travel
hotel Tallinn bill,travel
cinema bill 150.37 EUR,entertainment
LIDL GROCERIES INVOICE,groceries
Gas Elisa bill September,utilities
unexpected expense bill 60.25 EUR,other
SELVER GROCERIES TRANSFER,groceries
misc expense bill 117.17 EUR,other
Water UtilityCo bill January,utilities
RENT JANUARY TRANSFER,rent
TAXI PARIS BILL,travel
train Berlin invoice 154.58 EUR,travel
Water Enefit bill October,utilities
rent January invoice,rent
aldi groceries bill 139.96 EUR,groceries
Disney+ subscription transfer 87.40 EUR,subscription
TICKETS INVOICE,entertainment
,utilities
HOTEL BERLIN PAYMENT,travel
Hulu subscription payment 24.99 EUR,subscription
rimi groceries payment 234.95 EUR,groceries
cinema invoice,entertainment
Gas Elisa bill November 248.90 EUR,utilities
restaurant bill,entertainment
Electricity CityWater bill June,utilities
rent April invoice,rent
,travel
online store groceries transfer 230.25 EUR,groceries
rent September bill,rent
hotel Helsinki bill,travel
ONLINE STORE GROCERIES BILL,groceries
APPLE SUBSCRIPTION TRANSFER,subscription
rent September fee,rent
YouTube subscription bill 7.56 EUR,subscription
APPLE SUBSCRIPTION BILL,subscription
12345,utilities
,rent
Mobile Elisa bill January,utilities
Gas CityWater bill February,utilities
HOTEL LONDON BILL,travel
,utilities
