purpose_text,transaction_type,tokens
unknown,entertainment,['unknown']
unknown,utilities,['unknown']
flight berlin bill,travel,"['flight', 'berlin', 'bill']"
google one subscription fee eur,subscription,"['google', 'one', 'subscription', 'fee', 'eu', '##r']"
,entertainment,[]
mobile citywater bill february,utilities,"['mobile', 'city', '##water', 'bill', 'february']"
internet elisa bill december,utilities,"['internet', 'elisa', 'bill', 'december']"
unexpected expense fee eur,other,"['unexpected', 'expense', 'fee', 'eu', '##r']"
,utilities,[]
rent january invoice eur,rent,"['rent', 'january', 'in', '##vo', '##ice', 'eu', '##r']"
rent september invoice eur,rent,"['rent', 'september', 'in', '##vo', '##ice', 'eu', '##r']"
hotel new york payment,travel,"['hotel', 'new', 'york', 'payment']"
train tallinn invoice,travel,"['train', 'tallinn', 'in', '##vo', '##ice']"
google one subscription bill,subscription,"['google', 'one', 'subscription', 'bill']"
hotel helsinki invoice eur,travel,"['hotel', 'helsinki', 'in', '##vo', '##ice', 'eu', '##r']"
taxi boston transfer eur,travel,"['taxi', 'boston', 'transfer', 'eu', '##r']"
tickets bill eur,entertainment,"['tickets', 'bill', 'eu', '##r']"
bolt market groceries bill,groceries,"['bolt', 'market', 'groceries', 'bill']"
taxi paris fee eur,travel,"['taxi', 'paris', 'fee', 'eu', '##r']"
spotify subscription bill eur,subscription,"['spot', '##ify', 'subscription', 'bill', 'eu', '##r']"
hotel tartu payment,travel,"['hotel', 'tar', '##tu', 'payment']"
taxi tokyo transfer,travel,"['taxi', 'tokyo', 'transfer']"
taxi berlin bill,travel,"['taxi', 'berlin', 'bill']"
flight helsinki transfer,travel,"['flight', 'helsinki', 'transfer']"
museum transfer eur,entertainment,"['museum', 'transfer', 'eu', '##r']"
train tartu payment,travel,"['train', 'tar', '##tu', 'payment']"
prisma groceries transfer eur,groceries,"['prism', '##a', 'groceries', 'transfer', 'eu', '##r']"
rent april transfer eur,rent,"['rent', 'april', 'transfer', 'eu', '##r']"
youtube subscription fee eur,subscription,"['youtube', 'subscription', 'fee', 'eu', '##r']"
unknown,subscription,['unknown']
